text,label
order now free shipping,spam
weekly report attached please review - thanks,ham
Re: flight confirmation booking abc123,ham
weekly report attached please review - thanks,ham
[SPAM] congratulations your email won prize,spam
Shipping Confirmation Order 12345,ham
adult content exclusive access click!!!,spam
confirm update attached,ham
Your Refund Is Waiting Claim Now,spam
password reset request received - thanks,ham
lose weight fast no exercise needed!!!,spam
MEET SINGLES IN YOUR AREA TONIGHT,spam
Reminder About Appointment Tomorrow,ham
YOUR ORDER HAS SHIPPED,ham
TEAM MEETING TOMORROW AT 3PM,ham
meet singles in your area tonight,spam
free money click here now,spam
reminder: appointment,ham
meeting report at document,ham
get rich quick work from home http://example.com,spam
Re: calendar invite team sync,ham
act immediately avoid account closure http://example.com,spam
shipping confirmation order 12345 - thanks,ham
password reset request received - thanks,ham
PLEASE REVIEW THE PROPOSAL,ham
monthly newsletter january - thanks,ham
JOB OFFER SALARY $100K WORK FROM HOME,spam
password reset request received,ham
ADULT CONTENT EXCLUSIVE ACCESS CLICK,spam
CONGRATULATIONS YOUR EMAIL WON PRIZE,spam
Re: password reset request received,ham
SHIPPING CONFIRMATION ORDER 12345,ham
Happy Birthday Hope You Have A Great Day,ham
LUNCH PLANS FOR FRIDAY,ham
Re: monthly newsletter january,ham
Nigerian Prince Needs Your Help,spam
Re: shipping confirmation order 12345,ham
EARN $5000 DAILY FROM HOME,spam
your account has been compromised click link!!!,spam
GREAT WORK ON THE PRESENTATION,ham
[SPAM] job offer salary $100k work from home,spam
nigerian prince needs your help http://example.com,spam
Re:  receipt for your purchase,ham
can you review my pull request,ham
urgent action required verify account http://example.com,spam
happy birthday hope you have a great day,ham
extreme discount luxury items!!!,spam
thank you for your purchase,ham
congratulations your email won prize,spam
Calendar Invite Team Sync,ham
sync for welcome,ham
Weekly Report Attached Please Review,ham
great work on the presentation - thanks,ham
[SPAM] meet singles in your area tonight,spam
Limited Time Offer Act Now,spam
discount urgent action click,spam
calendar invite team sync - thanks,ham
SUSPENDED ACCOUNT VERIFY NOW,spam
act immediately avoid account closure,spam
special promotion just for you http://example.com,spam
deal urgent action offer,spam
calendar invite team sync,ham
can you confirm,ham
subscription renewal coming up,ham
subscription renewal coming up,ham
exclusive suspended for suspended,spam
Thank You For Your Purchase,ham
your prize is money click million,spam
Your Refund Is Waiting Claim Now,spam
congratulations you won lottery http://example.com,spam
CHEAP PHARMA ONLINE NO PRESCRIPTION,spam
congratulations your email won prize http://example.com,spam
[SPAM] adult content exclusive access click,spam
HOTEL BOOKING CONFIRMATION REF 456,ham
reminder: dinner,ham
million dollar opportunity awaits http://example.com,spam
cheap pharma online no prescription http://example.com,spam
Hotel Booking Confirmation Ref 456,ham
Monthly Newsletter January,ham
[SPAM] congratulations your email won prize,spam
Congratulations You Won Lottery,spam
link limited time lottery,spam
CONGRATULATIONS YOU WON LOTTERY,spam
Suspended Account Verify Now,spam
hotel booking confirmation ref 456 - thanks,ham
Welcome To Our Service,ham
congratulations your email won prize!!!,spam
your refund is waiting claim now,spam
limited time offer act now http://example.com,spam
order now free shipping,spam
Calendar Invite Team Sync,ham
meeting lunch at update,ham
LUNCH PLANS FOR FRIDAY,ham
CONGRATULATIONS YOUR EMAIL WON PRIZE,spam
lose weight fast no exercise needed,spam
Adult Content Exclusive Access Click,spam
REMINDER ABOUT APPOINTMENT TOMORROW,ham
reminder about appointment tomorrow - thanks,ham
Documents From Meeting Shared With You,ham
[SPAM] dear winner claim your prize,spam
dinner reservations for saturday - thanks,ham
TEAM MEETING TOMORROW AT 3PM,ham
PLEASE REVIEW THE PROPOSAL,ham
REMINDER ABOUT APPOINTMENT TOMORROW,ham
PASSWORD RESET REQUEST RECEIVED,ham
subscription renewal coming up,ham
Re: account settings updated successfully,ham
 Receipt For Your Purchase,ham
FLIGHT CONFIRMATION BOOKING ABC123,ham
adult content exclusive access click,spam
[SPAM] bitcoin investment opportunity guaranteed returns,spam
Monthly Newsletter January,ham
can you document,ham
dear winner claim your prize http://example.com,spam
extreme discount luxury items!!!,spam
adult content exclusive access click http://example.com,spam
lose weight fast no exercise needed,spam
Re: shipping confirmation order 12345,ham
lose weight fast no exercise needed http://example.com,spam
Password Reset Request Received,ham
Can You Review My Pull Request,ham
[SPAM] extreme discount luxury items,spam
Account Settings Updated Successfully,ham
Act Immediately Avoid Account Closure,spam
limited time offer act now!!!,spam
credit card offer approved click!!!,spam
Re: documents from meeting shared with you,ham
extreme discount luxury items,spam
shipping confirmation order 12345,ham
WELCOME TO OUR SERVICE,ham
Project Update The Codebase Is Ready,ham
nigerian prince needs your help,spam
special promotion just for you,spam
Your Account Has Been Compromised Click Link,spam
Re: reminder about appointment tomorrow,ham
report update attached,ham
bitcoin investment opportunity guaranteed returns!!!,spam
YOUR REFUND IS WAITING CLAIM NOW,spam
